Position,Players,Matches Played,Overs,Maidens,Runs,Wickets,Best Bowling Inning,Average,Economy,Strike Rate,3 Wickets Haul,5 Wickets Haul
1,Marizanne Kapp,7,28,2,176,11,3/5,16.00,6.28,15.27,1,0
2,Titas Sadhu,4,9,1,70,3,2/23,23.33,7.77,18.00,0,0
3,Shabnim Ismail,7,28,1,173,8,3/18,21.62,6.17,21.00,1,0
4,Kathryn Bryce,8,21,1,182,4,1/19,45.50,8.66,31.50,0,0
5,Meghna Singh,8,24,1,242,5,4/37,48.40,10.08,28.80,1,0
6,Tanuja Kanwer,8,29,1,207,10,2/20,20.70,7.13,17.40,0,0
7,Shikha Pandey,9,34,1,244,9,2/23,27.11,7.17,22.66,0,0
8,Renuka Singh,10,28,1,226,2,2/14,113.00,8.07,84.00,0,0
