Position,Players,Overs,Runs,Wickets,Strike Rate,Against
1,Ellyse Perry,4,15,6,4.00,Mumbai Indians
2,Asha Shobana,4,22,5,4.80,UP Warriorz
3,Shreyanka Patil,3.3,12,4,5.25,Delhi Capitals
4,Amelia Kerr,4,17,4,6.00,Gujarat Giants
5,Radha Yadav,4,20,4,6.00,UP Warriorz
6,Meghna Singh,4,37,4,6.00,Delhi Capitals
7,Deepti Sharma,4,19,4,6.00,Delhi Capitals
8,Shreyanka Patil,4,26,4,6.00,Delhi Capitals
9,Alice Capsey,2,23,2,6.00,Mumbai Indians
10,Natalie Sciver-Brunt,2,14,2,6.00,UP Warriorz
