Position,Players,Runs,Balls Faced,Strike Rate,4s,6s
1,Issy Wong,15,6,250.00,1,1
2,Shafali Verma,28,12,233.33,3,2
3,Jess Jonassen,36,16,225.00,4,2
4,Grace Harris,38,17,223.52,6,1
5,Georgia Wareham,48,22,218.18,6,2
6,Richa Ghosh,21,10,210.00,2,1
7,Jemimah Rodrigues,69,33,209.09,8,3
8,Yastika Bhatia,31,15,206.66,4,2
9,Marizanne Kapp,32,16,200.00,2,3
10,Poonam Khemnar,14,7,200.00,3,0
