Position,Players,Runs,Balls Faced,Strike Rate,4s,6s
1,Laura Wolvaardt,76,45,168.88,13,0
2,Beth Mooney,85,51,166.66,12,1
3,Richa Ghosh,62,37,167.56,12,0
4,Meg Lanning,60,46,130.43,12,0
5,Harmanpreet Kaur,95,48,197.91,10,5
6,Smriti Mandhana,80,50,160.00,10,3
7,Smriti Mandhana,74,43,172.09,10,3
8,Beth Mooney,74,52,142.30,10,1
9,Deepti Sharma,88,60,146.66,9,4
10,Dayalan Hemalatha,74,40,185.00,9,2
