Position,Players,Runs,Balls Faced,Strike Rate,4s,6s
1,Kiran Navgire,57,25,183.87,6,4
2,Jemimah Rodrigues,58,26,161.11,8,1
3,Jemimah Rodrigues,69,27,209.09,8,3
4,Beth Mooney,66,27,188.57,8,3
5,Shafali Verma,71,28,191.89,7,5
6,Dayalan Hemalatha,74,28,185.00,9,2
7,Richa Ghosh,51,28,175.86,4,3
8,Grace Harris,60,30,181.81,9,2
9,Shafali Verma,50,30,161.29,3,4
10,Richa Ghosh,62,31,167.56,12,0
